"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\tmp\Wichtelserver\backend\api\controller\giftController.js", "JavaScript", 0, 42, 10, 13, 65
"c:\tmp\Wichtelserver\backend\api\controller\groupController.js", "JavaScript", 0, 73, 1, 30, 104
"c:\tmp\Wichtelserver\backend\api\controller\mailController.js", "JavaScript", 0, 76, 0, 15, 91
"c:\tmp\Wichtelserver\backend\api\controller\userController.js", "JavaScript", 0, 125, 0, 24, 149
"c:\tmp\Wichtelserver\backend\api\model\Gift.js", "JavaScript", 0, 21, 0, 4, 25
"c:\tmp\Wichtelserver\backend\api\model\Group.js", "JavaScript", 0, 24, 0, 4, 28
"c:\tmp\Wichtelserver\backend\api\model\Invitation.js", "JavaScript", 0, 16, 0, 5, 21
"c:\tmp\Wichtelserver\backend\api\model\User.js", "JavaScript", 0, 85, 2, 10, 97
"c:\tmp\Wichtelserver\backend\api\routes\gift.js", "JavaScript", 0, 6, 0, 2, 8
"c:\tmp\Wichtelserver\backend\api\routes\group.js", "JavaScript", 0, 8, 0, 3, 11
"c:\tmp\Wichtelserver\backend\api\routes\router.js", "JavaScript", 0, 12, 2, 11, 25
"c:\tmp\Wichtelserver\backend\api\routes\user.js", "JavaScript", 0, 12, 0, 8, 20
"c:\tmp\Wichtelserver\backend\config\auth.js", "JavaScript", 0, 14, 0, 7, 21
"c:\tmp\Wichtelserver\backend\config\db.js", "JavaScript", 0, 19, 0, 7, 26
"c:\tmp\Wichtelserver\backend\package-lock.json", "JSON", 2095, 0, 0, 1, 2096
"c:\tmp\Wichtelserver\backend\package.json", "JSON", 34, 0, 0, 1, 35
"c:\tmp\Wichtelserver\backend\server.js", "JavaScript", 0, 31, 7, 16, 54
"Total", "-", 2129, 564, 22, 161, 2876
